name,price,category,product_url,image_urls
Bracelet and Bangles,,necklaces,https://www.pcjeweller.com/jewellery/diamond-bracelet-and-bangles.html,https://cf-cdn.pcjeweller.com/public/uploads/catalog/product/custom/c/CU00024-1_564_186.jpg; https://cf-cdn.pcjeweller.com/public/uploads/catalog/product/custom/b/BR00309H_172.jpg; https://cf-cdn.pcjeweller.com/public/uploads/catalog/product/custom/b/BR00309B_181.jpg
The Millie Diamond Necklace Sets,,necklaces,https://www.pcjeweller.com/the-millie-diamond-necklace-sets.html,https://cf-cdn.pcjeweller.com/public/uploads/catalog/product/preview/d/DS00045P-5_581.jpg; https://cf-cdn.pcjeweller.com/public/uploads/catalog/product/small/d/DS00045P-5_581.jpg; https://cf-cdn.pcjeweller.com/public/uploads/catalog/product/small/d/DS00045P-1__1178019134.jpg
The Mabel Diamond Necklace Ships Faster,,necklaces,https://www.pcjeweller.com/the-mabel-diamond-necklace-ships-faster.html,https://cf-cdn.pcjeweller.com/public/uploads/catalog/product/preview/d/DS00666P-1_958_378.jpg; https://cf-cdn.pcjeweller.com/public/uploads/catalog/product/thumb/d/DS00666P-1_958_378.jpg
Bracelet and Bangles,,necklaces,https://www.pcjeweller.com/jewellery/diamond-bracelet-and-bangles.html,https://cf-cdn.pcjeweller.com/public/uploads/catalog/product/custom/c/CU00024-1_564_186.jpg; https://cf-cdn.pcjeweller.com/public/uploads/catalog/product/custom/b/BR00309H_172.jpg; https://cf-cdn.pcjeweller.com/public/uploads/catalog/product/custom/b/BR00309B_181.jpg
The Carrie Diamond Necklace Ships Faster,,necklaces,https://www.pcjeweller.com/the-carrie-diamond-necklace-ships-faster.html,https://cf-cdn.pcjeweller.com/public/uploads/catalog/product/preview/d/DS00623PA_196_511.jpg; https://cf-cdn.pcjeweller.com/public/uploads/catalog/product/thumb/d/DS00623PA_196_511.jpg
