name,price,category,product_url,image_urls
The Nehemiah Diamond Silver Ladies Ring Ships Faster,,rings,https://www.pcjeweller.com/the-nehemiah-diamond-silver-ladies-ring-ships-faster.html,https://cf-cdn.pcjeweller.com/public/uploads/catalog/product/preview/l/LR00469-6_220.jpg; https://cf-cdn.pcjeweller.com/public/uploads/catalog/product/thumb/l/LR00469-6_220.jpg
The Nicola Diamond Ladies Ring Ships Faster,,rings,https://www.pcjeweller.com/the-nicola-diamond-ladies-ring-ships-faster.html,https://cf-cdn.pcjeweller.com/public/uploads/catalog/product/preview/1/1__1828746176.jpg; https://cf-cdn.pcjeweller.com/public/uploads/catalog/product/small/1/1__1828746176.jpg; https://cf-cdn.pcjeweller.com/public/uploads/catalog/product/small/1/1__966319399.jpg
The Nevia Diamond Ladies Ring Ships Faster,,rings,https://www.pcjeweller.com/the-nevia-diamond-ladies-ring-ships-faster.html,https://cf-cdn.pcjeweller.com/public/uploads/catalog/product/preview/l/LR00055-6__2014130014.jpg; https://cf-cdn.pcjeweller.com/public/uploads/catalog/product/small/l/LR00055-6__2014130014.jpg; https://cf-cdn.pcjeweller.com/public/uploads/catalog/product/small/l/LR00055-1__1194975725-(1)__722033376.jpg
The Wiyam Diamond Ladies Ring Ships Faster,,rings,https://www.pcjeweller.com/the-wiyam-diamond-ladies-ring-ships-faster.html,https://cf-cdn.pcjeweller.com/public/uploads/catalog/product/preview/l/LR02614A-6__151749678.jpg; https://cf-cdn.pcjeweller.com/public/uploads/catalog/product/small/l/LR02614A-6__151749678.jpg; https://cf-cdn.pcjeweller.com/public/uploads/catalog/product/small/l/LR02614A-1__190145234.jpg
The Jydan Diamond & Gemstone Ring Ships Faster,,rings,https://www.pcjeweller.com/the-jydan-diamond-gemstone-ring-ships-faster.html,https://cf-cdn.pcjeweller.com/public/uploads/catalog/product/preview/l/LR01300R-6B__311952798.jpg; https://cf-cdn.pcjeweller.com/public/uploads/catalog/product/small/l/LR01300R-6B__311952798.jpg; https://cf-cdn.pcjeweller.com/public/uploads/catalog/product/small/l/LR01300R-6B__982295934.jpg
The Peyton Diamond Ladies Ring ships faster,,rings,https://www.pcjeweller.com/the-pyton-diamond-ring-ships-faster.html,https://cf-cdn.pcjeweller.com/public/uploads/catalog/product/preview/l/LR00062-1__433658459__29401734.jpg; https://cf-cdn.pcjeweller.com/public/uploads/catalog/product/small/l/LR00062-1__433658459__29401734.jpg; https://cf-cdn.pcjeweller.com/public/uploads/catalog/product/small/l/LR00062-4__520897753__1757241721.jpg
The Yashika Diamond Ladies Ring Ships Faster,,rings,https://www.pcjeweller.com/the-yashika-diamond-ladies-ring-ships-faster.html,https://cf-cdn.pcjeweller.com/public/uploads/catalog/product/preview/l/LR02617A-6__521528016.jpg; https://cf-cdn.pcjeweller.com/public/uploads/catalog/product/small/l/LR02617A-6__521528016.jpg; https://cf-cdn.pcjeweller.com/public/uploads/catalog/product/small/l/LR02617A-1__1290776573.jpg
Bracelet and Bangles,,rings,https://www.pcjeweller.com/jewellery/diamond-bracelet-and-bangles.html,https://cf-cdn.pcjeweller.com/public/uploads/catalog/product/custom/c/CU00024-1_564_186.jpg; https://cf-cdn.pcjeweller.com/public/uploads/catalog/product/custom/b/BR00309H_172.jpg; https://cf-cdn.pcjeweller.com/public/uploads/catalog/product/custom/b/BR00309B_181.jpg
The Claire Diamond Ladies Ring Ships Faster,,rings,https://www.pcjeweller.com/the-claire-diamond-ladies-ring-ships-faster.html,https://cf-cdn.pcjeweller.com/public/uploads/catalog/product/preview/1/1__69578714.jpg; https://cf-cdn.pcjeweller.com/public/uploads/catalog/product/small/1/1__69578714.jpg; https://cf-cdn.pcjeweller.com/public/uploads/catalog/product/small/1/1__437868634.jpg
The Ferne Diamond & Gemstone Ring,,rings,https://www.pcjeweller.com/the-ferne-diamond-gemstone-ring-46760.html,https://cf-cdn.pcjeweller.com/public/uploads/catalog/product/preview/l/LR00903R-6_907.jpg; https://cf-cdn.pcjeweller.com/public/uploads/catalog/product/small/l/LR00903R-6_907.jpg; https://cf-cdn.pcjeweller.com/public/uploads/catalog/product/small/l/LR00903R-1__1116097832.jpg
