name,price,category,product_url,image_urls
Bracelet and Bangles,,bracelets,https://www.pcjeweller.com/jewellery/diamond-bracelet-and-bangles.html,https://cf-cdn.pcjeweller.com/public/uploads/catalog/product/custom/c/CU00024-1_564_186.jpg; https://cf-cdn.pcjeweller.com/public/uploads/catalog/product/custom/b/BR00309H_172.jpg; https://cf-cdn.pcjeweller.com/public/uploads/catalog/product/custom/b/BR00309B_181.jpg
The Sevyn Diamond Bracelet Ships Faster,,bracelets,https://www.pcjeweller.com/the-sevyn-diamond-bracelet-ships-faster.html,https://cf-cdn.pcjeweller.com/public/uploads/catalog/product/preview/b/BR00309F_852.jpg; https://cf-cdn.pcjeweller.com/public/uploads/catalog/product/thumb/b/BR00309F_852.jpg
The Sloan Diamond Bracelet Ships Faster,,bracelets,https://www.pcjeweller.com/the-sloan-diamond-bracelet-ships-faster.html,https://cf-cdn.pcjeweller.com/public/uploads/catalog/product/preview/b/BR00309B_181.jpg; https://cf-cdn.pcjeweller.com/public/uploads/catalog/product/thumb/b/BR00309B_181.jpg
The Elizabeth Diamond Bracelet Ships Faster,,bracelets,https://www.pcjeweller.com/the-elizabeth-diamond-bracelet-ships-faster.html,https://cf-cdn.pcjeweller.com/public/uploads/catalog/product/preview/b/BR00310B_30_446.jpg; https://cf-cdn.pcjeweller.com/public/uploads/catalog/product/thumb/b/BR00310B_30_446.jpg
The Finley Diamond Bracelet Ships Faster,,bracelets,https://www.pcjeweller.com/the-finley-diamond-bracelet-ships-faster.html,https://cf-cdn.pcjeweller.com/public/uploads/catalog/product/preview/b/BR00438-6_630_307.jpg; https://cf-cdn.pcjeweller.com/public/uploads/catalog/product/thumb/b/BR00438-6_630_307.jpg
The Tinsley Diamond Bracelet Ships Faster,,bracelets,https://www.pcjeweller.com/the-tinsley-diamond-bracelet-ships-faster.html,https://cf-cdn.pcjeweller.com/public/uploads/catalog/product/preview/b/BR00309H_172.jpg; https://cf-cdn.pcjeweller.com/public/uploads/catalog/product/thumb/b/BR00309H_172.jpg
The Romina Diamond Bracelet Ships Faster,,bracelets,https://www.pcjeweller.com/the-romina-diamond-bracelet-ships-faster.html,https://cf-cdn.pcjeweller.com/public/uploads/catalog/product/preview/b/BR00309A_329.jpg; https://cf-cdn.pcjeweller.com/public/uploads/catalog/product/thumb/b/BR00309A_329.jpg
Bracelet and Bangles,,bracelets,https://www.pcjeweller.com/jewellery/diamond-bracelet-and-bangles.html,https://cf-cdn.pcjeweller.com/public/uploads/catalog/product/custom/c/CU00024-1_564_186.jpg; https://cf-cdn.pcjeweller.com/public/uploads/catalog/product/custom/b/BR00309H_172.jpg; https://cf-cdn.pcjeweller.com/public/uploads/catalog/product/custom/b/BR00309B_181.jpg
